SDG Goal,SDG Target,SDG Indicator,Country or Territory Code,Country or Territory Name,SDG Region,SDG Sub-Region,City Code,City Name,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b],Data Units,Data Reference Year,Data Source,FootNote
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_PUL_E_KHUMRI,Pul-e Khumrī,9.620736999517074,56.14663249497103,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_KHAN_ABAD,Khān Ābād,11.335616152119844,75.16806775228314,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_FARAH,Farāh,12.133542788624593,62.46434304479565,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_LASHKARGAH,Lashkargāh,13.57448576328211,70.46493276165731,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_MAZAR_E_SHARIF,Mazar-e Sharif,15.311319579146113,65.58849551554448,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_JALALABAD,Jalālābād,15.652377287346347,59.009592873391625,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_HERAT,Herat,17.196641850438606,55.557153154237724,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_CHARIKAR,Chārīkār,17.945025866468043,82.05341295172289,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_KABUL,Kabul,19.895799153613307,13.04331781258056,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
11,11.7,11.7.1,4,Afghanistan,Central Asia  and Southern Asia ,Southern Asia ,AF_KANDAHAR,Kandahar,,45.938928911038765,PERCENT,2020,UN-Habitat Urban Indicators Database,"[a] Calculated as the proportion of urban area allocated to streets and open public spaces. An open public space (OPS) is defined as an area that is openly and freely accessible space for all (without any cost implication) for enjoyment of social services such as recreation. Identification of open public spaces is  based on data compiled from city land use plans and open sources including OpenStreetMap and GoogleEarth. Data on street lines is majorly sourced from OpenStreetMap, and street widths are estimated through sampling and measurement from GoogleEarth. [b] Population with convenient access to open public spaces is the percentage share of urban population who can access an open public space within a walking distance of 400 meters along the street network. Data used to estimate population with access to public transport is based on grid level population disaggregation directly from city/country data, High Resolution Settlement Layer - HRSL (Facebook Connectivity Lab and CIESIN), WorldPop or GHS-Pop.City/urban area used in the analyis has been generated using a classification approach based on the Degree of Urbanization concept to city definition  - as a result, the urban/city area used for the indicator computation in this data table may be larger or smaller than the official municipality boundary.  Designation and data estimated by UN-Habitat based on the global indicator methodology. The designations employed do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area; or of its authorities, or concerning the delimitation of its frontiers or boundaries."
